country_name,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Gibraltar,0.67,0.786,1.244,0.831,1.369,0.993,0.814,1.403,0.787,0.939,1.248,1.316,1.623,0.965,0.883,1.471,1.41,1.766,2.057,0.778,1.326
Greece,0.788,0.667,1.298,0.415,0.377,0.327,0.209,0.247,1.068,0.872,0.758,1.551,0.365,1.21,1.3,1.028,0.889,1.584,0.65,1.903,1.406
Greenland,0.51,0.829,0.822,1.176,2.317,1.456,1.867,1.708,1.353,0.948,0.84,3.046,1.672,1.614,1.368,1.435,0.197,2.369,1.2,0.904,2.201
Grenada,0.6,0.449,0.663,0.576,0.878,0.428,0.934,0.633,0.578,0.428,0.451,1.167,0.654,0.568,0.807,0.685,0.916,0.97,0.974,0.629,0.892
Guadeloupe,0.572,0.317,0.577,0.724,0.923,0.554,0.844,0.646,0.873,0.362,0.556,1.159,0.563,0.691,0.767,0.778,1.032,1.148,0.949,0.692,0.818
Guatemala,0.654,0.46,0.506,0.772,1.072,0.74,0.936,0.713,0.735,0.337,0.952,0.764,0.585,0.615,0.733,0.74,1.262,1.426,1.056,0.835,1.364
"Guiana, French",0.468,0.375,0.438,0.587,0.809,0.825,1.274,0.685,1.01,0.697,1.035,1.249,0.827,0.816,1.053,1.101,1.281,1.685,1.409,1.149,1.466
Guinea,0.521,0.677,0.795,1.148,1.024,1.064,1.225,1.141,1.008,1.089,0.848,1.252,1.043,0.473,1.062,1.019,1.297,1.312,1.662,1.296,1.57
Guinea-Bissau,0.866,1.13,1.346,1.417,1.113,1.19,1.423,1.223,1.058,1.366,0.784,1.309,1.083,0.796,1.094,1.399,1.388,1.749,1.88,1.314,1.642
Guyana,0.361,0.649,0.781,1.062,0.911,0.894,1.138,0.81,0.826,0.489,1.05,0.919,0.744,0.836,0.901,1.08,1.319,1.5,1.249,1.215,1.178
Haiti,1.258,0.919,0.712,0.92,1.194,0.834,1.086,0.904,1.101,0.609,0.826,1.277,0.557,0.86,1.183,1.45,1.521,1.428,1.302,1.488,1.716
Holy See,0.733,1.139,1.396,0.636,1.396,0.395,0.328,0.503,1.223,0.869,0.915,0.662,0.914,1.404,0.765,1.239,1.375,1.454,1.203,1.765,1.46
Honduras,0.463,0.127,0.374,0.787,0.674,0.536,0.99,0.65,0.796,0.579,0.82,0.81,0.743,0.636,0.917,0.663,1.126,1.39,1.049,0.698,1.107
Hungary,0.62,1.753,1.41,1.442,0.732,0.572,0.258,0.722,2.165,1.52,1.637,0.83,0.915,1.751,1.18,2.232,2.092,1.923,1.373,2.565,2.393
Iceland,0.481,0.309,0.618,0.821,1.844,1.292,0.509,1.089,1.155,0.806,0.965,1.218,1.026,0.748,0.776,1.737,0.494,1.485,1.77,0.892,1.396
India,0.424,0.309,0.441,0.796,0.633,0.533,0.545,0.625,0.579,0.237,1.131,1.113,0.336,0.486,0.434,0.522,0.68,1.074,0.982,0.884,0.809
